"questionId","domain","objectiveId","conceptId","type","contentSignatureGroupSize","signatureObjectiveCount","reviewStatus","reviewRationale"
"aplus-core2-001","Operating Systems","1.4","aplus-core2-1.4-01","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-002","Operating Systems","1.4","aplus-core2-1.4-02","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-003","Operating Systems","1.3","aplus-core2-1.3-03","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-004","Operating Systems","1.9","aplus-core2-1.9-04","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-005","Operating Systems","1.8","aplus-core2-1.8-05","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-006","Operating Systems","1.2","aplus-core2-1.2-06","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-007","Operating Systems","1.1","aplus-core2-1.1-07","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-008","Operating Systems","1.9","aplus-core2-1.9-08","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-009","Operating Systems","1.10","aplus-core2-1.10-09","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-010","Operating Systems","1.5","aplus-core2-1.5-10","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-011","Operating Systems","1.1","aplus-core2-1.1-11","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-012","Operating Systems","1.2","aplus-core2-1.2-12","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-013","Operating Systems","1.3","aplus-core2-1.3-13","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-014","Operating Systems","1.4","aplus-core2-1.4-14","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-015","Operating Systems","1.5","aplus-core2-1.5-15","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-016","Operating Systems","1.6","aplus-core2-1.6-16","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-017","Operating Systems","1.6","aplus-core2-1.6-17","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-018","Operating Systems","1.7","aplus-core2-1.7-18","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-019","Operating Systems","1.7","aplus-core2-1.7-19","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-020","Operating Systems","1.8","aplus-core2-1.8-20","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-021","Operating Systems","1.9","aplus-core2-1.9-21","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-022","Operating Systems","1.10","aplus-core2-1.10-22","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-023","Operating Systems","1.11","aplus-core2-1.11-23","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-024","Operating Systems","1.11","aplus-core2-1.11-24","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-025","Operating Systems","1.4","aplus-core2-1.4-01","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-026","Operating Systems","1.4","aplus-core2-1.4-02","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-027","Operating Systems","1.3","aplus-core2-1.3-03","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-028","Operating Systems","1.9","aplus-core2-1.9-04","multiple-response","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-029","Operating Systems","1.8","aplus-core2-1.8-05","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-030","Operating Systems","1.2","aplus-core2-1.2-06","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-031","Operating Systems","1.1","aplus-core2-1.1-07","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-032","Operating Systems","1.9","aplus-core2-1.9-08","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
"aplus-core2-033","Operating Systems","1.10","aplus-core2-1.10-09","single-choice","1","1","reviewed","Unique answer interaction; objective and domain metadata pass structural checks."
