"question_id","domain","objective_id","concept","review_basis"
"secplus-1","General Security Concepts","1.1","security-controls","existing objective and concept reviewed"
"secplus-2","General Security Concepts","1.1","security-controls","existing objective and concept reviewed"
"secplus-3","General Security Concepts","1.1","security-controls","existing objective and concept reviewed"
"secplus-4","General Security Concepts","1.1","security-controls","existing objective and concept reviewed"
"secplus-5","General Security Concepts","1.1","security-controls","existing objective and concept reviewed"
"secplus-6","General Security Concepts","1.1","security-controls","existing objective and concept reviewed"
"secplus-7","General Security Concepts","1.1","security-controls","existing objective and concept reviewed"
"secplus-8","General Security Concepts","1.1","security-controls","existing objective and concept reviewed"
"secplus-9","General Security Concepts","1.1","security-controls","existing objective and concept reviewed"
"secplus-10","General Security Concepts","1.1","security-controls","existing objective and concept reviewed"
"secplus-11","General Security Concepts","1.1","security-controls","existing objective and concept reviewed"
"secplus-12","General Security Concepts","1.1","security-controls","existing objective and concept reviewed"
"secplus-13","General Security Concepts","1.2","security-principles","existing objective and concept reviewed"
"secplus-14","General Security Concepts","1.4","hashing-signatures-and-integrity","existing objective and concept reviewed"
"secplus-15","General Security Concepts","1.2","authentication-and-core-principles","editorial reassignment during structured audit"
"secplus-16","General Security Concepts","1.2","security-principles","existing objective and concept reviewed"
"secplus-17","General Security Concepts","1.2","security-principles","existing objective and concept reviewed"
"secplus-18","General Security Concepts","1.4","hashing-signatures-and-integrity","existing objective and concept reviewed"
"secplus-19","General Security Concepts","1.2","security-principles","existing objective and concept reviewed"
"secplus-20","General Security Concepts","1.4","encryption-and-key-exchange","existing objective and concept reviewed"
"secplus-21","General Security Concepts","1.4","encryption-and-key-exchange","existing objective and concept reviewed"
"secplus-22","General Security Concepts","1.2","security-principles","existing objective and concept reviewed"
"secplus-23","General Security Concepts","1.2","security-principles","existing objective and concept reviewed"
"secplus-24","General Security Concepts","1.1","physical-and-control-classification","editorial reassignment during structured audit"
"secplus-25","General Security Concepts","1.2","security-principles","existing objective and concept reviewed"
"secplus-26","General Security Concepts","1.2","security-principles","existing objective and concept reviewed"
"secplus-27","General Security Concepts","1.1","security-controls","existing objective and concept reviewed"
"secplus-28","General Security Concepts","1.3","change-governance","editorial reassignment during structured audit"
"secplus-29","General Security Concepts","1.3","change-management","existing objective and concept reviewed"
"secplus-30","General Security Concepts","1.1","security-controls","existing objective and concept reviewed"
"secplus-31","General Security Concepts","1.3","change-management","existing objective and concept reviewed"
"secplus-32","General Security Concepts","1.3","change-governance","editorial reassignment during structured audit"
"secplus-33","General Security Concepts","1.3","change-management","existing objective and concept reviewed"
"secplus-34","General Security Concepts","1.3","change-management","existing objective and concept reviewed"
"secplus-35","General Security Concepts","1.3","change-governance","editorial reassignment during structured audit"
"secplus-36","General Security Concepts","1.3","change-management","existing objective and concept reviewed"
"secplus-37","General Security Concepts","1.4","hashing-signatures-and-integrity","existing objective and concept reviewed"
